Employee ID,January,February,March,April,May,June,July,August,September,October,November,December
10001,382.50,585.00,382.50,382.50,585.00,585.00,765.00,382.50,1125.00,1125.00,1125.00,1125.00
10002,247.50,382.50,247.50,247.50,382.50,382.50,517.50,247.50,1125.00,1125.00,1125.00,652.50
10003,247.50,337.50,225.00,247.50,337.50,337.50,517.50,247.50,1125.00,1125.00,1125.00,607.50
10004,247.50,382.50,247.50,247.50,382.50,382.50,517.50,247.50,1125.00,1125.00,1125.00,652.50
10005,225.00,337.50,225.00,225.00,337.50,337.50,450.00,225.00,1125.00,1125.00,1125.00,562.50
10006,225.00,337.50,225.00,225.00,337.50,337.50,450.00,225.00,1125.00,1125.00,1125.00,562.50
10007,180.00,270.00,180.00,180.00,270.00,270.00,360.00,180.00,1125.00,1125.00,1125.00,1125.00
10008,135.00,135.00,135.00,135.00,135.00,135.00,202.50,135.00,810.00,720.00,675.00,765.00
10009,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,765.00,720.00,675.00,720.00
10010,225.00,337.50,225.00,225.00,337.50,337.50,450.00,225.00,1125.00,1125.00,1125.00,1125.00
10011,202.50,315.00,225.00,202.50,315.00,337.50,427.50,225.00,1125.00,1125.00,1125.00,1125.00
10012,157.50,247.50,157.50,157.50,247.50,247.50,337.50,157.50,1125.00,1125.00,1125.00,1125.00
10013,135.00,157.50,135.00,135.00,157.50,157.50,202.50,135.00,855.00,765.00,697.50,810.00
10014,135.00,157.50,135.00,135.00,157.50,157.50,157.50,135.00,855.00,765.00,697.50,810.00
10015,225.00,337.50,225.00,225.00,337.50,337.50,427.50,225.00,1125.00,1125.00,1125.00,1125.00
10016,180.00,270.00,180.00,180.00,270.00,270.00,337.50,180.00,1125.00,1125.00,1125.00,1125.00
10017,180.00,270.00,180.00,180.00,270.00,247.50,337.50,157.50,1125.00,1125.00,1125.00,1125.00
10018,135.00,135.00,135.00,135.00,135.00,135.00,180.00,135.00,720.00,675.00,652.50,765.00
10019,135.00,135.00,135.00,135.00,135.00,135.00,180.00,135.00,810.00,720.00,652.50,765.00
10020,135.00,157.50,135.00,135.00,157.50,135.00,180.00,135.00,832.50,742.50,675.00,787.50
10021,135.00,135.00,135.00,135.00,135.00,135.00,180.00,135.00,787.50,675.00,630.00,742.50
10022,135.00,157.50,135.00,135.00,157.50,157.50,202.50,135.00,855.00,765.00,697.50,810.00
10023,135.00,135.00,135.00,135.00,135.00,135.00,180.00,135.00,810.00,720.00,652.50,765.00
10024,135.00,135.00,135.00,135.00,135.00,135.00,180.00,135.00,765.00,720.00,652.50,765.00
10025,135.00,157.50,135.00,135.00,157.50,157.50,202.50,135.00,855.00,765.00,697.50,810.00